No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
12,Daftar mata pelajaran,SMKT-AD/AKD/012/2025,10 January 2025,Akademik,Dokumen 'Daftar mata pelajaran' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
13,Agenda kegiatan sekolah,SMKT-AD/ADM/013/2025,15 January 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
14,Rekap penilaian akhir,SMKT-AD/EVL/014/2025,16 July 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
15,Rekap nilai ujian praktik,SMKT-AD/EVL/015/2025,29 April 2025,Evaluasi,Dokumen 'Rekap nilai ujian praktik' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
16,Data sertifikasi guru,SMKT-AD/KPG/016/2025,19 May 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
17,Daftar inventaris,SMKT-AD/SRP/017/2025,23 January 2025,Sarana dan Prasarana,Dokumen 'Daftar inventaris' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
18,Laporan hasil wawancara siswa,SMKT-AD/EVL/018/2025,30 July 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
19,Jadwal ujian tengah semester,SMKT-AD/AKD/019/2025,19 August 2025,Akademik,Dokumen 'Jadwal ujian tengah semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
20,Rekap barang masuk dan keluar,SMKT-AD/SRP/020/2025,24 March 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
21,Rekap data guru dan staf,SMKT-AD/KPG/021/2025,28 January 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
22,Bahan ajar kejuruan,SMKT-AD/KUR/022/2025,28 September 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
23,Modul pembelajaran,SMKT-AD/KUR/023/2025,03 September 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
24,Rekap barang masuk dan keluar,SMKT-AD/SRP/024/2025,19 January 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
25,Jadwal ujian akhir semester,SMKT-AD/AKD/025/2025,14 November 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
26,Rekap barang masuk dan keluar,SMKT-AD/SRP/026/2025,10 July 2025,Sarana dan Prasarana,Dokumen 'Rekap barang masuk dan keluar' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
27,Laporan kas harian,SMKT-AD/KUG/027/2025,30 August 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
28,Agenda kegiatan sekolah,SMKT-AD/ADM/028/2025,21 July 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
29,Laporan hasil rapat,SMKT-AD/ADM/029/2025,28 January 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
30,Bahan ajar kejuruan,SMKT-AD/KUR/030/2025,27 December 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
31,SK pengangkatan guru,SMKT-AD/KPG/031/2025,27 December 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
32,Laporan praktik kerja lapangan,SMKT-AD/AKD/032/2025,28 June 2025,Akademik,Dokumen 'Laporan praktik kerja lapangan' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
33,Jadwal pemakaian lab,SMKT-AD/SRP/033/2025,06 October 2025,Sarana dan Prasarana,Dokumen 'Jadwal pemakaian lab' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
34,SK pemberhentian sementara,SMKT-AD/KPG/034/2025,21 January 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
35,Laporan audit internal,SMKT-AD/KUG/035/2025,22 August 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
36,Laporan pengadaan alat,SMKT-AD/SRP/036/2025,27 June 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
37,Rencana pengembangan kurikulum,SMKT-AD/KUR/037/2025,01 August 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
38,Rencana pengadaan barang,SMKT-AD/KUG/038/2025,01 April 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
39,Laporan absensi pegawai,SMKT-AD/KPG/039/2025,19 July 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
40,Laporan hasil rapat,SMKT-AD/ADM/040/2025,01 March 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
41,Daftar guru pengajar,SMKT-AD/AKD/041/2025,07 October 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
42,Surat undangan rapat,SMKT-AD/ADM/042/2025,31 March 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
43,Laporan hasil konseling,SMKT-AD/SW/043/2025,11 February 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
44,Laporan hasil rapat,SMKT-AD/ADM/044/2025,06 September 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
45,Jadwal ujian akhir semester,SMKT-AD/AKD/045/2025,15 March 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
46,Kartu ujian siswa,SMKT-AD/SW/046/2025,16 February 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
47,Laporan absensi pegawai,SMKT-AD/KPG/047/2025,01 June 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
48,Rekap data guru dan staf,SMKT-AD/KPG/048/2025,17 September 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
49,Laporan hasil konseling,SMKT-AD/SW/049/2025,16 March 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
50,Laporan audit internal,SMKT-AD/KUG/050/2025,08 June 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
51,Notulen rapat,SMKT-AD/ADM/051/2025,28 December 2025,Administrasi,Dokumen 'Notulen rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
52,Laporan absensi pegawai,SMKT-AD/KPG/052/2025,28 May 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
53,Surat pemberitahuan kelulusan,SMKT-AD/SW/053/2025,07 January 2025,Siswa,Dokumen 'Surat pemberitahuan kelulusan' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
54,Data sertifikasi guru,SMKT-AD/KPG/054/2025,09 November 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
55,Panduan penilaian,SMKT-AD/KUR/055/2025,19 May 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
56,Laporan hasil ujian,SMKT-AD/EVL/056/2025,19 November 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
57,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/057/2025,22 February 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
58,Daftar nilai ujian akhir,SMKT-AD/SW/058/2025,12 February 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
59,Bukti pengeluaran kas,SMKT-AD/KUG/059/2025,08 June 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
60,Form administrasi perizinan,SMKT-AD/ADM/060/2025,05 June 2025,Administrasi,Dokumen 'Form administrasi perizinan' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
61,Form evaluasi kegiatan sekolah,SMKT-AD/EVL/061/2025,06 August 2025,Evaluasi,Dokumen 'Form evaluasi kegiatan sekolah' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
62,Laporan keuangan semester,SMKT-AD/KUG/062/2025,20 September 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
63,Laporan kinerja tahunan,SMKT-AD/KPG/063/2025,24 February 2025,Kepegawaian,Dokumen 'Laporan kinerja tahunan' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
64,Rencana pengadaan barang,SMKT-AD/KUG/064/2025,18 March 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
65,Agenda kegiatan sekolah,SMKT-AD/ADM/065/2025,27 February 2025,Administrasi,Dokumen 'Agenda kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
66,Jadwal pelajaran semester genap,SMKT-AD/AKD/066/2025,21 July 2025,Akademik,Dokumen 'Jadwal pelajaran semester genap' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
67,Rekap nilai siswa per kelas,SMKT-AD/AKD/067/2025,24 October 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
68,Jadwal piket guru,SMKT-AD/KPG/068/2025,04 December 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
69,Laporan audit internal,SMKT-AD/KUG/069/2025,05 June 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
70,Laporan monitoring kegiatan,SMKT-AD/EVL/070/2025,14 February 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
71,RPP mata pelajaran,SMKT-AD/KUR/071/2025,03 February 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
72,Laporan absensi pegawai,SMKT-AD/KPG/072/2025,11 August 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
73,Rekap nilai ujian praktik,SMKT-AD/EVL/073/2025,21 September 2025,Evaluasi,Dokumen 'Rekap nilai ujian praktik' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
74,Rencana pengadaan barang,SMKT-AD/KUG/074/2025,06 May 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
75,Kartu ujian siswa,SMKT-AD/SW/075/2025,08 September 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
76,Laporan pemeliharaan sarana,SMKT-AD/SRP/076/2025,10 April 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
77,Proposal kegiatan sekolah,SMKT-AD/ADM/077/2025,23 May 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
78,Proposal kegiatan sekolah,SMKT-AD/ADM/078/2025,24 March 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
79,Notulen rapat guru,SMKT-AD/KPG/079/2025,23 December 2025,Kepegawaian,Dokumen 'Notulen rapat guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
80,Surat pemberitahuan kelulusan,SMKT-AD/SW/080/2025,21 January 2025,Siswa,Dokumen 'Surat pemberitahuan kelulusan' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
81,Analisis hasil belajar siswa,SMKT-AD/EVL/081/2025,05 June 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
82,Formulir pendaftaran siswa baru,SMKT-AD/SW/082/2025,14 January 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
83,Rekap penilaian akhir,SMKT-AD/EVL/083/2025,21 February 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
84,Rekap data guru dan staf,SMKT-AD/KPG/084/2025,10 April 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
85,Formulir pendaftaran siswa baru,SMKT-AD/SW/085/2025,25 April 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
86,Laporan hasil rapat,SMKT-AD/ADM/086/2025,16 December 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
87,Surat perintah tugas,SMKT-AD/KPG/087/2025,10 June 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
88,Rekap nilai siswa per kelas,SMKT-AD/AKD/088/2025,15 February 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
89,Rekap penilaian akhir,SMKT-AD/EVL/089/2025,31 August 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
90,Surat pemberitahuan kelulusan,SMKT-AD/SW/090/2025,10 March 2025,Siswa,Dokumen 'Surat pemberitahuan kelulusan' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
91,Laporan hasil ujian,SMKT-AD/EVL/091/2025,13 March 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
92,Rencana pengembangan kurikulum,SMKT-AD/KUR/092/2025,08 November 2025,Kurikulum,Dokumen 'Rencana pengembangan kurikulum' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
93,Daftar hadir rapat,SMKT-AD/ADM/093/2025,03 November 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
94,Program semester,SMKT-AD/KUR/094/2025,17 February 2025,Kurikulum,Dokumen 'Program semester' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
95,Laporan monitoring kegiatan,SMKT-AD/EVL/095/2025,07 July 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
96,Rekap penilaian akhir,SMKT-AD/EVL/096/2025,08 April 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
97,Jadwal konsultasi wali kelas,SMKT-AD/SW/097/2025,22 January 2025,Siswa,Dokumen 'Jadwal konsultasi wali kelas' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
98,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/098/2025,14 December 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
99,Rekap nilai ujian praktik,SMKT-AD/EVL/099/2025,14 September 2025,Evaluasi,Dokumen 'Rekap nilai ujian praktik' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
100,Laporan kas harian,SMKT-AD/KUG/100/2025,05 January 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
101,Modul pembelajaran,SMKT-AD/KUR/101/2025,06 July 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
102,Jadwal ujian akhir semester,SMKT-AD/AKD/102/2025,30 November 2025,Akademik,Dokumen 'Jadwal ujian akhir semester' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
103,Program tahunan,SMKT-AD/KUR/103/2025,26 February 2025,Kurikulum,Dokumen 'Program tahunan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
104,Bahan ajar kejuruan,SMKT-AD/KUR/104/2025,13 August 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
105,Proposal kegiatan sekolah,SMKT-AD/ADM/105/2025,01 August 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
106,Daftar materi ajar,SMKT-AD/KUR/106/2025,19 March 2025,Kurikulum,Dokumen 'Daftar materi ajar' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
107,Rekap penilaian akhir,SMKT-AD/EVL/107/2025,09 July 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
108,Bahan ajar kejuruan,SMKT-AD/KUR/108/2025,07 October 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
109,Daftar siswa remedial,SMKT-AD/EVL/109/2025,23 September 2025,Evaluasi,Dokumen 'Daftar siswa remedial' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
110,Laporan hasil wawancara siswa,SMKT-AD/EVL/110/2025,28 May 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
111,Laporan pengadaan alat,SMKT-AD/SRP/111/2025,09 October 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
112,Formulir cuti pegawai,SMKT-AD/KPG/112/2025,30 May 2025,Kepegawaian,Dokumen 'Formulir cuti pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
113,Rencana perbaikan gedung,SMKT-AD/SRP/113/2025,30 November 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
114,Rekap nilai siswa per kelas,SMKT-AD/AKD/114/2025,12 August 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
115,SK pengangkatan guru,SMKT-AD/KPG/115/2025,07 May 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
116,Laporan hasil rapat,SMKT-AD/ADM/116/2025,03 January 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
117,Proposal kegiatan sekolah,SMKT-AD/ADM/117/2025,25 October 2025,Administrasi,Dokumen 'Proposal kegiatan sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
118,Foto dokumentasi perbaikan,SMKT-AD/SRP/118/2025,29 September 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
119,Formulir mutasi siswa,SMKT-AD/SW/119/2025,23 February 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
